objt_id,fclty_ty,fclty_cd,fclty_nm,adres,rn_adres,telno,ctprvn_cd,sgg_cd,emd_cd,x,y,data_yr
237587,편의점,509010,세븐일레븐천안원성원룸점,충청남도 천안시 동남구 원성동 206-10,충청남도 천안시 동남구 성황로 95,,44,44131,44131107,14155338.97,4412960.978,2025
237591,편의점,509010,세븐일레븐천안두정베스트점,충청남도 천안시 서북구 두정동 1888,충청남도 천안시 서북구 두정고8길 4,,44,44133,44133104,14152191.05,4416523.708,2025
237593,편의점,509010,세븐일레븐천안쌍용선경점,충청남도 천안시 서북구 쌍용동 434-5,충청남도 천안시 서북구 충무로 140-6,,44,44133,44133107,14151271.45,4410235.753,2025
237594,편의점,509010,씨유천안복자,충청남도 천안시 동남구 성황동 41-4,충청남도 천안시 동남구 복자1길 12,,44,44131,44131102,14154381.8,4413257.681,2025
237595,편의점,509010,씨유천안북일고점,충청남도 천안시 동남구 신부동 245,충청남도 천안시 동남구 단대로 69,,44,44131,44131118,14155121.77,4415589.768,2025
237599,편의점,509010,응응스크르천안,충청남도 천안시 동남구 용곡동 214-4,충청남도 천안시 동남구 일봉로 101,,44,44131,44131115,14152921.45,4409843.793,2025
237602,편의점,509010,지에스25온누리원성점,충청남도 천안시 동남구 원성동 563-2,충청남도 천안시 동남구 충절로 200,,44,44131,44131107,14155253.04,4411400.988,2025
237607,편의점,509010,세븐일레븐천안풍세,충청남도 천안시 동남구 풍세면 풍서리 386-6,충청남도 천안시 동남구 풍세면 풍년길 43-1,,44,44131,44131310,14150846.25,4400426.795,2025
237612,편의점,509010,세븐일레븐천안,충청남도 천안시 동남구 성황동 5-36,충청남도 천안시 동남구 복자1길 29,,44,44131,44131102,14154594.98,4413269.679,2025
237614,편의점,509010,세븐일레븐천안성정타운점,충청남도 천안시 서북구 성정동 641-1,충청남도 천안시 서북구 서부6길 64,,44,44133,44133102,14153559.11,4414614.589,2025
237615,편의점,509010,이마트24천안성성,충청남도 천안시 서북구 성성동 668,충청남도 천안시 서북구 성성8로 14-12,,44,44133,44133105,14152019.56,4416879.049,2025
237616,편의점,509010,우리네주유소,충청남도 천안시 동남구 신방동 49-25,충청남도 천안시 동남구 서부대로 235,,44,44131,44131116,14151875.11,4409771.486,2025
237617,편의점,509010,세븐천안법조엔리치점,충청남도 천안시 동남구 청당동 506,충청남도 천안시 동남구 청수5로 3,,44,44131,44131111,14154773.65,4408917.932,2025
237618,편의점,509010,세븐일레븐천안신방유안점,충청남도 천안시 동남구 신방동 1258,충청남도 천안시 동남구 통정9로 10,,44,44131,44131116,14151768.33,4407686.428,2025
237619,편의점,509010,세븐일레븐천안불당한마음점,충청남도 천안시 서북구 불당동 934,충청남도 천안시 서북구 불당11로 9,,44,44133,44133108,14149532.35,4411928.055,2025
237623,편의점,509010,씨유천안성정,충청남도 천안시 서북구 성정동 650-1,충청남도 천안시 서북구 서부1길 40,,44,44133,44133102,14152877.5,4414303.795,2025
237628,편의점,509010,씨유천안운전교차로점,충청남도 천안시 동남구 목천읍 운전리 58,충청남도 천안시 동남구 목천읍 신사운전길 293,,44,44131,44131250,14165631.36,4406042.959,2025
237630,편의점,509010,세븐천안성정시티점주,충청남도 천안시 서북구 성정동 1518,충청남도 천안시 서북구 성정공원5로 10-16,,44,44133,44133102,14152956.59,4414985.213,2025
237638,편의점,509010,씨유,충청남도 천안시 동남구 구성동 314-1,충청남도 천안시 동남구 대흥로 29,,44,44131,44131108,14155092.83,4410777.798,2025
